shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
junior farquhar,2020-21,E Illinois,OVC,jr,G,24,19,0.791666667,Eastern Illinois,Eastern Illinois,jufarquhar,Non-Power
justin ahrens,2021-22,Ohio State,B10,sr,G,24,18,0.75,Ohio St.,Ohio State,juahrens,Power
justin brown,2018-19,Chattanooga,SC,fr,C,24,16,0.666666667,Chattanooga,Chattanooga,jubrown,Non-Power
justin edler-davis,2019-20,CSU Bakersfield,WAC,jr,F,24,17,0.708333333,Cal St. Bakersfield,CSU Bakersfield,juedler,Non-Power
justin faison,2021-22,UMass Lowell,AE,sr,G,24,17,0.708333333,UMass Lowell,UMass Lowell,jufaison,Non-Power
justin powell,2020-21,Auburn,SEC,fr,G,24,19,0.791666667,Auburn,Auburn,jupowell,Power
justin williams,2018-19,G Washington,A10,jr,G,24,17,0.708333333,George Washington,George Washington,juwilliams,Non-Power
kaden archie,2019-20,UTEP,CUSA,so,G,24,16,0.666666667,UTEP,UTEP,kaarchie,Non-Power
karrington davis,2019-20,S Illinois,MVC,fr,G,24,15,0.625,Southern Illinois,Southern Illinois,kadavis,Non-Power
kc hankton,2020-21,Chattanooga,SC,jr,F,24,20,0.833333333,Chattanooga,Chattanooga,kchankton,Non-Power
keeshawn mason,2021-22,NJIT,AE,fr,F,24,15,0.625,NJIT,NJIT,kemason,Non-Power
keith smith,2020-21,Cal Poly,BW,sr,G,24,18,0.75,Cal Poly,Cal Poly,kesmith,Non-Power
khydarius smith,2020-21,USC Upstate,BSth,so,F,24,15,0.625,USC Upstate,South Carolina Upstate,khsmith,Non-Power
kirshon thrash,2020-21,Presbyterian,BSth,fr,G,24,16,0.666666667,Presbyterian,Presbyterian College,kithrash,Non-Power
kj lawson,2018-19,Kansas,B12,so,F,24,18,0.75,Kansas,Kansas,kjlawson,Power
kyky tandy,2020-21,Xavier,BE,so,G,24,20,0.833333333,Xavier,Xavier,kytandy,Power
kyle foster,2018-19,Howard,MEAC,so,G,24,17,0.708333333,Howard,Howard,kyfoster,Non-Power
kyle greeley,2020-21,Portland State,BSky,so,G,24,22,0.916666667,Portland St.,Portland State,kygreeley,Non-Power
kyle rose,2020-21,Fordham,A10,so,G,24,14,0.583333333,Fordham,Fordham,kyrose,Non-Power
kyle zunic,2017-18,Winthrop,BSth,fr,G,24,19,0.791666667,Winthrop,Winthrop,kyzunic,Non-Power
kyndall davis,2020-21,LIU,NEC,fr,G,24,15,0.625,LIU Brooklyn,Long Island University,kydavis,Non-Power
langston powell,2019-20,UL Monroe,SB,so,G,24,20,0.833333333,Louisiana Monroe,Ul Monroe,lapowell,Non-Power
larry owens,2019-20,Northwestern St,Slnd,jr,F/C,24,15,0.625,Northwestern St.,Northwestern State,laowens,Non-Power
leandro allende,2017-18,The Citadel,SC,so,G,24,16,0.666666667,The Citadel,The Citadel,leallende,Non-Power
levar williams,2019-20,NJIT,ASun,fr,G,24,16,0.666666667,NJIT,NJIT,lewilliams,Non-Power
liam robbins,2021-22,Vanderbilt,SEC,sr,F/C,24,14,0.583333333,Vanderbilt,Vanderbilt,lirobbins,Power
lonnell martin,2021-22,Montana,BSky,jr,G,24,19,0.791666667,Montana,Montana,lomartin,Non-Power
lukas jarrett,2017-18,Lafayette,Pat,so,F,24,13,0.541666667,Lafayette,Lafayette,lujarrett,Non-Power
lyrik shreiner,2018-19,DePaul,BE,jr,G,24,17,0.708333333,DePaul,DePaul,lyshreiner,Power
maishe dailey,2020-21,Akron,MAC,sr,G,24,15,0.625,Akron,Akron,madailey,Non-Power
malik hardy,2019-20,FGCU,ASun,so,G,24,18,0.75,Florida Gulf Coast,Florida Gulf Coast,mahardy,Non-Power
malik rhodes,2017-18,Memphis,Amer,jr,G,24,19,0.791666667,Memphis,Memphis,marhodes,Non-Power
mamadou diarra,2017-18,UConn,Amer,fr,F,24,14,0.583333333,Connecticut,Connecticut,madiarra,Non-Power
marcellus garrick,2017-18,Cal Poly,BW,jr,G,24,20,0.833333333,Cal Poly,Cal Poly,magarrick,Non-Power
