"Albert Almanza","Sam Houston St.",Slnd,30,53.7,107.6,14.5,48.5,51.74,3.8,9.8,7.5,11.7,25,29,0.862,26,57,0.456,36,108,0.333,1.3,1.4,17.6,Sr,6-6,0,0.69062,96.7215,5.2,2019,33737,"Austin, TX",,1.34994219,10,21,16,36,0.4762,0.4444,0,0,,,105.353,108.902,1.53255,105.179,-0.734043,0.522596,-1.25664,-2.28558,21.8182,-1.53212,-0.753453,0.8485,1.8182,2.6667,0.8182,0.6061,0.3030,6.0909,"Wing G",9.68909
"Thatch Unruh","Central Arkansas",Slnd,30,80.2,106.4,19.3,53.6,57.64,1.5,10.8,13.7,16.1,75,93,0.806,59,115,0.513,66,180,0.367,0,1.6,31.5,Sr,6-5,25,1.80403,103.671,3,2019,33740,"Branson, MO",,1.18641989,35,57,24,58,0.6140,0.4138,0,0,,,109.962,113.668,1.75696,160.655,-1.19191,1.4279,-2.61981,-1.2984,31.6970,0.466975,-1.76538,0.5152,3.1818,3.6970,2.1212,0.9394,0.0000,12.9697,"Wing G",10.3358
"Connor Kern","The Citadel",SC,26,59.4,106.1,12.6,53.1,56.46,1.8,10.6,4.1,15,25,28,0.893,18,35,0.514,40,112,0.357,0.6,1.3,19,Sr,6-4,12,0.624131,94.7445,2.1,2019,33768,"Pickerington, OH",,0.72409999,16,32,2,3,0.5000,0.6667,0,0,,,118.903,118.17,0.966952,103.536,-3.06857,-0.0677898,-3.00078,-3.07195,24.3103,-0.679241,-2.39271,0.5517,2.3448,2.8966,0.7241,0.6207,0.1379,7.6207,"Wing G",9.25082
"Bryan Alberts","Long Beach St.",BW,31,71.9,99.4,16.5,46.8,48.34,1.8,6.8,5.8,10.7,23,29,0.793,49,129,0.38,64,181,0.354,0.5,1.3,9.4,Sr,6-5,10,0.631031,93.5868,1.8,2019,33821,"Sun Valley, CA",20.4,0.93549069,7,13,42,116,0.5385,0.3621,1,1,1.0000,,109.603,109.513,2.0537,143.083,-1.29803,0.238895,-1.53692,-1.44746,29.2121,-0.364972,-1.08249,0.5152,1.9394,2.4545,0.8788,0.7879,0.1515,10.5455,"Wing G",10.6215
"Josh Perkins",Gonzaga,WCC,37,78.2,119.8,19.8,53.8,57.57,1.8,7.4,29.6,18.3,71,87,0.816,89,168,0.53,53,145,0.366,0.3,2.6,27.8,Sr,6-3,13,3.81716,122.637,2.6,2019,33823,"Huntington, WV",86.4,3.06669957,62,105,27,63,0.5905,0.4286,2,2,1.0000,,94.5726,91.5505,4.1133,207.976,6.45487,5.13223,1.32264,6.46807,31.2703,3.97396,2.49411,0.4324,2.2973,2.7297,6.2162,1.4595,0.1081,11.0270,"Pure PG",6.99602
"Zach McRoberts",Indiana,B10,26,25.1,86.5,5.3,38.5,38.46,2.3,14.8,6.3,24.6,0,0,0,4,7,0.571,4,19,0.211,0.3,2.3,0,Sr,6-6,15,-0.739325,71.7174,3,2019,33824,"Carmel, IN",,1.75008124,0,0,4,7,,0.5714,0,0,,,98.2154,92.8624,1.71885,67.1272,1.53524,-1.35703,2.89227,0.0853834,13.7308,-3.33444,3.41982,0.2692,1.8462,2.1154,0.5385,0.5385,0.0385,0.7692,"Wing G",3.09729
"Ami Lakoju","UC Santa Barbara",BW,29,14.2,108.5,18.3,58.1,59.33,15.2,15.2,3.4,21.3,16,27,0.593,18,31,0.581,0,0,0,5.9,1.8,87.1,Sr,6-9,14,0.29672,102,10,2019,33904,"Harlem, NY",,0.30758224,13,16,5,15,0.8125,0.3333,3,3,1.0000,,98.4101,101.033,0.580011,35.2691,-0.0847041,-1.37424,1.28953,-2.93114,6.4516,-3.89724,0.966093,1.0323,0.8710,1.9032,0.1290,0.1935,0.2903,2.7097,C,0
"Zoran Talley Jr.","Iowa St.",B12,21,11.2,113.9,12,61.3,61.29,3.1,12.5,10,18.6,0,0,0,19,29,0.655,0,2,0,2.8,1.1,0,Sr,6-7,23,0.48634,106.205,3.1,2019,33918,"Merrillville, IN",,1.50017509,12,14,7,15,0.8571,0.4667,3,3,1.0000,,102.406,96.7116,0.849529,26.4613,1.87242,0.458182,1.41424,1.38887,7.4762,0.0134245,1.37545,0.1905,0.8571,1.0476,0.4286,0.1429,0.1905,1.8095,PF/C,0.742437
"Shawn Roundtree","Central Michigan",MAC,31,83.4,114.9,21.1,56.4,61.27,0.9,7.2,15.5,17.4,132,170,0.776,79,173,0.457,76,169,0.45,0.2,1.3,49.7,Sr,6-0,2,3.53462,117.04,2.3,2019,33924,"Edwardsville, IL",,1.34614883,45,95,34,78,0.4737,0.4359,0,0,,,108.96,109.586,2.37447,162.213,0.354159,2.7558,-2.40164,1.60476,34.5000,2.92355,-1.31879,0.2941,2.3824,2.6765,3.0882,0.9118,0.0588,16.5588,"Combo G",8.51213
"Jake Toolson","Utah Valley",WAC,33,83.6,119.8,20.5,63.7,67.81,3.7,12.1,12.9,19.9,103,119,0.866,110,183,0.601,63,138,0.457,0.7,0.9,37.1,Jr,6-5,2,3.65567,118.949,2,2019,33955,"Gilbert, AZ",49.0,0.92772199,84,120,25,62,0.7000,0.4032,3,3,1.0000,,105.042,105.688,2.75939,179.238,3.53932,3.58712,-0.0478066,3.9175,33.2571,4.2623,-0.344797,0.9143,3.5714,4.4857,2.2000,0.5143,0.2000,15.8000,"Wing G",7.1041
